ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,travel,setup,move
1,101,360.066,24,24,296.23556423187256,0,0,20,10.88143520944355,120.0,108.81435209443548
2,102,440.628,24,24,256.07632875442505,4,0,34,28.078903477348092,190.0,280.7890347734809
3,103,439.324,24,24,266.66668462753296,6,0,32,26.11104634677282,160.0,261.11046346772815
4,104,425.944,24,24,278.08223009109497,4,0,26,26.39255455904108,140.0,263.9255455904108
5,105,270.696,24,24,283.73604679107666,9,0,5,15.879844678344877,130.0,158.79844678344878
6,106,277.954,24,24,282.7082018852234,0,0,9,22.639345314168082,150.0,226.39345314168082
7,107,317.092,24,24,261.73973083496094,12,0,10,24.200859884373774,170.0,242.0085988437377
8,108,287.007,24,24,271.78270149230957,8,0,11,19.057650199719802,160.0,190.57650199719802
9,109,296.577,24,24,292.1792426109314,8,0,15,16.069188421559048,110.0,160.69188421559042
10,110,322.021,24,24,269.4245414733887,9,0,7,26.918159809799825,160.0,269.18159809799823
11,101,258.668,24,24,294.3316307067871,9,0,6,10.56119834642421,110.0,105.61198346424207
12,102,378.418,24,24,256.8604030609131,10,0,19,30.465284744199238,180.0,304.65284744199244
13,103,458.579,24,24,257.81938219070435,6,0,21,28.935384357898513,180.0,289.35384357898516
14,104,292.175,24,24,297.06310272216797,3,0,4,21.456286615105927,110.0,214.56286615105924
15,105,277.844,24,24,286.00525856018066,2,0,4,9.982469693212483,150.0,99.82469693212484
16,106,338.892,24,24,268.2819457054138,15,0,28,24.06016566894133,140.0,240.60165668941323
17,107,369.217,24,24,284.64832973480225,9,0,32,14.505550617071744,120.0,145.05550617071745
18,108,286.723,24,24,267.2653546333313,16,0,10,20.782135469299575,150.0,207.8213546929958
19,109,346.986,24,24,267.5749092102051,9,0,25,24.75027894629033,160.0,247.5027894629033
20,110,265.846,24,24,271.72467041015625,9,0,3,22.584424195482924,160.0,225.84424195482922
21,101,355.428,24,24,276.30522871017456,5,0,21,20.64920287797489,150.0,206.49202877974884
22,102,343.568,24,24,289.19836711883545,9,0,22,26.005444173079233,100.0,260.0544417307924
23,103,413.934,24,24,281.4558382034302,5,0,30,20.14720759074535,130.0,201.47207590745353
24,104,342.707,24,24,296.01283168792725,3,0,8,19.957208825375094,110.0,199.57208825375093
25,105,339.547,24,24,288.7623405456543,8,0,11,9.125510684970473,120.0,91.25510684970473
26,106,338.859,24,24,283.19227600097656,8,0,14,27.692412063589323,120.0,276.9241206358933
27,107,366.024,24,24,283.90007066726685,11,0,22,15.333095305923912,120.0,153.33095305923914
28,108,348.952,24,24,280.5329566001892,5,0,15,19.89014310418883,140.0,198.90143104188832
29,109,298.513,24,24,265.87180519104004,13,0,13,22.093977584673677,160.0,220.93977584673678
30,110,278.143,24,24,312.31926345825195,1,0,11,12.269114012114715,80.0,122.69114012114714
31,101,258.563,24,24,309.5004482269287,2,0,8,9.998502084831562,90.0,99.98502084831561
32,102,274.803,24,24,290.6222343444824,10,0,15,16.259223754883678,110.0,162.59223754883678
33,103,358.472,24,24,262.79005908966064,11,0,9,37.36643298149028,160.0,373.66432981490277
34,104,331.484,24,24,306.6173210144043,2,0,12,14.608932394141004,90.0,146.08932394141002
35,105,302.471,24,24,284.7327661514282,9,0,13,10.890743110193787,130.0,108.90743110193787
36,106,424.028,24,24,273.06702756881714,2,0,27,18.109862700718246,160.0,181.09862700718244
37,107,426.145,24,24,283.16418170928955,8,0,32,17.786049848364385,120.0,177.8604984836438
38,108,297.653,24,24,284.3502993583679,2,0,5,23.832327499139772,140.0,238.32327499139774
39,109,274.966,24,24,271.869047164917,10,0,7,17.103141582766757,160.0,171.03141582766753
40,110,352.762,24,24,275.4366955757141,7,0,9,21.87764795201954,150.0,218.7764795201954
41,101,279.566,24,24,281.3902931213379,4,0,4,18.698988920570848,150.0,186.98988920570852
42,102,313.198,24,24,286.44670391082764,5,0,13,18.510966274999497,130.0,185.10966274999492
43,103,477.358,24,24,280.4455885887146,6,0,45,23.514708291096323,120.0,235.1470829109633
44,104,366.855,24,24,299.98631143569946,3,0,21,15.045637462016748,100.0,150.45637462016748
45,105,370.085,24,24,287.85446405410767,5,0,23,17.151787975794296,120.0,171.51787975794298
46,106,302.784,24,24,279.6545944213867,9,0,15,29.484686619604048,130.0,294.8468661960405
47,107,329.085,24,24,291.65867710113525,7,0,16,21.137739577062394,110.0,211.3773957706239
48,108,345.815,24,24,283.2258310317993,3,0,21,17.580552083914,140.0,175.80552083914
49,109,285.127,24,24,280.27258920669556,3,0,7,19.091359476066103,150.0,190.91359476066106
50,110,266.164,24,24,281.88319301605225,8,0,2,18.722650661276642,140.0,187.22650661276643
51,101,284.62,24,24,294.8204174041748,5,0,8,17.26528178581187,110.0,172.6528178581187
52,102,337.342,24,24,269.09649181365967,6,0,9,33.011697889850524,160.0,330.1169788985051
53,103,335.022,24,24,268.98575496673584,3,0,13,26.714127557215605,170.0,267.141275572156
54,104,327.561,24,24,293.2250599861145,11,0,14,15.916463418587094,100.0,159.16463418587094
55,105,293.832,24,24,283.25719118118286,6,0,10,12.476018476645661,140.0,124.76018476645663
56,106,317.9,24,24,263.48388671875,4,0,18,23.387043320202018,180.0,233.87043320202022
57,107,288.948,24,24,274.7534294128418,7,0,9,17.488565489773425,160.0,174.88565489773427
58,108,293.067,24,24,287.8257722854614,0,0,8,18.914076225838635,140.0,189.14076225838636
59,109,303.874,24,24,257.94067001342773,18,0,7,21.86439744569013,170.0,218.64397445690128
60,110,410.625,24,24,266.5818929672241,5,0,24,21.393669761657893,170.0,213.93669761657893
61,101,398.294,24,24,272.13025426864624,1,0,27,24.565792258580192,160.0,245.65792258580197
62,102,322.534,24,24,257.10697841644287,13,0,9,27.976734039357105,180.0,279.76734039357103
63,103,264.047,24,24,283.3356695175171,9,0,4,22.214401686371826,130.0,222.1440168637183
64,104,365.328,24,24,293.7954454421997,8,0,18,19.0151817694234,100.0,190.15181769423404
65,105,283.281,24,24,288.8220319747925,6,0,4,12.259886999859912,130.0,122.59886999859913
66,106,297.478,24,24,274.07451725006104,3,0,7,28.08493796256441,160.0,280.8493796256441
67,107,370.6,24,24,267.58677196502686,12,0,25,13.04407503801893,160.0,130.44075038018931
68,108,332.077,24,24,271.8128662109375,6,0,14,23.957103060093083,160.0,239.57103060093084
69,109,416.966,24,24,261.253479719162,9,0,40,20.82169415170414,170.0,208.21694151704136
