level,ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,travel,setup,move
L1_2C12L,1,101,244.841,12,12,165.76663303375244,3,0,1,20.777870251180506,110.0,207.77870251180508
L2_3C24L,1,101,317.828,24,24,275.37808752059937,3,0,9,15.406363570785752,150.0,154.0636357078575
L3_4C36L,1,101,399.483,36,36,334.0010042190552,14,0,32,34.996676739772475,210.0,349.96676739772477
