ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,travel,setup,move
1,111,296.72,24,24,266.95313835144043,10,0,20,13.48954589188589,120.0,134.89545891885888
2,112,282.788,24,24,262.1621923446655,9,0,5,14.459344490223241,140.0,144.5934449022324
3,113,268.714,24,24,274.2751922607422,5,0,6,17.416020894847257,140.0,174.16020894847256
4,114,364.789,24,24,261.56367087364197,9,0,24,18.121049340119658,130.0,181.2104934011966
5,115,375.657,24,24,262.76937103271484,5,0,17,15.768750942404283,160.0,157.68750942404282
6,116,284.036,24,24,280.3488960266113,7,0,9,17.170346430327967,110.0,171.70346430327967
7,117,347.559,24,24,251.78522109985352,4,0,10,30.7158937779927,190.0,307.15893777992704
8,118,349.475,24,24,269.9042429924011,6,0,19,11.985813935809992,140.0,119.85813935809992
9,119,261.184,24,24,272.46548080444336,7,0,8,18.448399479198645,130.0,184.48399479198645
10,120,319.521,24,24,288.19335079193115,2,0,13,17.688828271882645,120.0,176.88828271882647
11,111,392.587,24,24,270.0288391113281,2,0,19,21.570499103347224,160.0,215.70499103347223
12,112,262.72,24,24,301.2657871246338,3,0,3,14.114030439617082,90.0,141.14030439617082
13,113,262.437,24,24,274.5986490249634,7,0,7,24.671168425258635,120.0,246.71168425258634
14,114,355.567,24,24,260.2149863243103,6,0,20,17.6167069034201,160.0,176.16706903420098
15,115,355.072,24,24,284.7277994155884,2,0,20,12.573949871543443,130.0,125.73949871543442
16,116,714.591,24,24,247.62282466888428,4,0,59,29.590590782692555,160.0,295.90590782692556
17,117,283.374,24,24,258.4523410797119,3,0,4,26.825523597373568,190.0,268.25523597373564
18,118,357.552,24,24,276.2028455734253,8,0,20,19.323840845400454,100.0,193.23840845400454
19,119,511.638,24,24,238.2680206298828,5,0,22,45.773234778030336,190.0,457.73234778030337
20,120,354.701,24,24,279.1317834854126,1,0,20,17.894051160535987,150.0,178.94051160535986
21,111,394.663,24,24,266.01110649108887,3,0,21,23.296311274850915,160.0,232.96311274850916
22,112,315.268,24,24,279.5730724334717,7,0,10,14.756408449308884,110.0,147.56408449308884
23,113,331.117,24,24,258.09780263900757,7,0,12,19.67397018676064,160.0,196.7397018676064
24,114,466.002,24,24,285.6827440261841,0,0,28,17.72418700100217,130.0,177.2418700100217
25,115,316.499,24,24,281.3203980922699,2,0,13,18.931980973606628,140.0,189.31980973606628
26,116,406.752,24,24,261.5588927268982,7,0,18,24.803674027846878,140.0,248.03674027846878
27,117,343.474,24,24,262.177134513855,4,0,9,22.74285093419481,170.0,227.4285093419481
28,118,431.307,24,24,266.16531896591187,9,0,44,24.44893456446169,110.0,244.4893456446169
29,119,436.987,24,24,240.41341733932495,8,0,22,31.95527584538563,180.0,319.5527584538563
30,120,256.784,24,24,285.7310094833374,3,0,5,14.229971667957992,130.0,142.29971667957992
31,111,401.612,24,24,259.9739179611206,4,0,24,21.753561804452296,170.0,217.53561804452295
32,112,267.098,24,24,267.1601896286011,9,0,1,17.79933628919944,130.0,177.9933628919944
33,113,278.617,24,24,265.510778427124,8,0,14,13.297382101673616,140.0,132.97382101673617
34,114,340.773,24,24,275.2925624847412,7,0,15,15.691458846088567,120.0,156.91458846088568
35,115,335.409,24,24,239.646657705307,12,0,21,17.844481015111985,170.0,178.44481015111984
36,116,267.038,24,24,289.3103132247925,3,0,4,15.632295228873717,120.0,156.32295228873718
37,117,350.008,24,24,260.01640701293945,4,0,8,29.945287481210492,170.0,299.45287481210494
38,118,374.394,24,24,255.294180393219,9,0,17,17.352728919222145,150.0,173.52728919222145
39,119,320.874,24,24,263.3313512802124,5,0,3,27.228791384794803,160.0,272.28791384794806
40,120,361.503,24,24,270.3608908653259,3,0,13,18.797016299042387,160.0,187.97016299042386
41,111,350.876,24,24,276.16998386383057,4,0,25,12.766723216840674,140.0,127.66723216840674
42,112,269.209,24,24,274.8442687988281,9,0,8,15.519088374675082,110.0,155.1908837467508
43,113,324.522,24,24,269.43959188461304,4,0,13,25.20134003363023,150.0,252.0134003363023
44,114,338.289,24,24,291.02005195617676,6,0,29,16.599806187576213,80.0,165.99806187576212
45,115,356.566,24,24,273.26362133026123,3,0,17,17.454585958295752,150.0,174.54585958295752
46,116,417.659,24,24,261.6091990470886,4,0,25,22.969324110234933,160.0,229.6932411023493
47,117,292.567,24,24,288.3305492401123,3,0,8,17.231466681747154,120.0,172.31466681747156
48,118,344.994,24,24,265.59345531463623,6,0,15,26.355138631475,140.0,263.55138631475
49,119,412.545,24,24,247.5161304473877,6,0,16,41.61287790695729,170.0,416.1287790695729
50,120,306.923,24,24,275.8608989715576,5,0,13,15.463657918321305,130.0,154.63657918321306
51,111,369.403,24,24,251.2703127861023,11,0,25,24.09892636864845,140.0,240.9892636864845
52,112,288.355,24,24,269.89174342155457,9,0,12,13.694195821775834,120.0,136.94195821775833
53,113,302.309,24,24,270.5037727355957,5,0,5,16.65409345659677,150.0,166.54093456596772
54,114,354.082,24,24,281.4129548072815,7,0,29,16.956783169488048,100.0,169.5678316948805
55,115,360.953,24,24,240.3875002861023,11,0,16,20.37500522632995,170.0,203.7500522632995
56,116,640.496,24,24,245.78744220733643,6,0,48,25.708530534386043,160.0,257.08530534386045
57,117,294.874,24,24,261.08691596984863,2,0,4,26.37695032658903,190.0,263.7695032658903
58,118,329.292,24,24,257.2814073562622,11,0,18,17.395313420921003,130.0,173.95313420921002
59,119,261.5,24,24,278.4758996963501,3,0,6,26.746989766890163,140.0,267.46989766890164
60,120,293.994,24,24,270.81864190101624,7,0,8,17.27118118610125,130.0,172.71181186101248
61,111,271.871,24,24,256.938440322876,14,0,5,11.87187050260731,120.0,118.7187050260731
62,112,247.849,24,24,272.7316541671753,10,0,4,14.22782473600418,110.0,142.2782473600418
63,113,266.906,24,24,288.8919334411621,3,0,8,17.0268874731,120.0,170.268874731
64,114,415.737,24,24,274.65126037597656,6,0,37,26.162471034599264,110.0,261.62471034599264
65,115,300.921,24,24,257.9483451843262,8,0,10,15.17217841219187,160.0,151.72178412191872
66,116,380.346,24,24,249.02135753631592,13,0,18,19.928772927357617,130.0,199.2877292735762
67,117,271.64,24,24,280.3422260284424,2,0,9,15.52591183686825,150.0,155.2591183686825
68,118,353.825,24,24,258.70217657089233,8,0,22,15.992733838935985,150.0,159.92733838935985
69,119,315.71,24,24,276.3313341140747,5,0,7,23.89552034071959,130.0,238.95520340719588
70,120,369.483,24,24,289.2313461303711,3,0,21,17.56214741569445,110.0,175.6214741569445
71,111,319.335,24,24,261.2783432006836,11,0,17,24.07216586984033,120.0,240.7216586984033
72,112,289.114,24,24,266.16352462768555,12,0,6,14.454914940088361,110.0,144.5491494008836
73,113,271.288,24,24,293.08069610595703,2,0,4,13.064351266818614,120.0,130.64351266818613
74,114,331.493,24,24,271.9808874130249,9,0,19,15.06370915033235,110.0,150.63709150332352
75,115,475.309,24,24,270.5119061470032,2,0,33,21.626977331288337,150.0,216.2697733128834
76,116,378.015,24,24,271.5239448547363,7,0,15,18.253477123448686,120.0,182.53477123448687
77,117,337.855,24,24,277.7674775123596,2,0,12,17.441736790907292,150.0,174.4173679090729
78,118,268.235,24,24,261.8608751296997,9,0,4,22.130399905679468,140.0,221.30399905679468
79,119,316.879,24,24,290.8999500274658,2,0,11,27.000138458409317,110.0,270.00138458409316
80,120,273.895,24,24,274.8490581512451,6,0,3,20.50313974590436,130.0,205.0313974590436
81,111,374.133,24,24,257.13694047927856,4,0,18,17.876823657027582,180.0,178.76823657027583
82,112,388.11,24,24,255.60615825653076,11,0,23,17.979450924061446,130.0,179.79450924061445
83,113,255.734,24,24,294.04212188720703,5,0,1,23.192916428058922,90.0,231.92916428058922
84,114,409.295,24,24,274.3800539970398,7,0,18,22.066437890836504,110.0,220.66437890836505
85,115,364.407,24,24,283.29932403564453,2,0,22,17.33558263269601,130.0,173.3558263269601
86,116,472.551,24,24,259.08924198150635,8,0,22,26.369180988828084,130.0,263.69180988828083
87,117,304.449,24,24,285.02949142456055,0,0,3,18.23498466717755,150.0,182.34984667177548
88,118,345.845,24,24,280.4966883659363,7,0,20,20.011034753575565,100.0,200.11034753575566
89,119,298.155,24,24,282.851243019104,3,0,11,22.162511412547403,130.0,221.62511412547403
90,120,284.029,24,24,284.9833564758301,7,0,8,15.055483493381725,100.0,150.55483493381726
91,111,370.894,24,24,287.4394061565399,2,0,31,15.201947845832226,120.0,152.01947845832225
92,112,269.76,24,24,303.60040760040283,2,0,12,12.99861138208379,90.0,129.9861138208379
93,113,349.617,24,24,274.23659658432007,2,0,17,24.21132237153305,150.0,242.11322371533052
94,114,323.99,24,24,285.0028614997864,7,0,24,18.32377417441228,90.0,183.23774174412276
95,115,303.819,24,24,248.6911211013794,9,0,5,22.696254634122653,170.0,226.96254634122653
96,116,642.136,24,24,245.30122566223145,7,0,44,17.329215338179637,160.0,173.29215338179637
97,117,314.326,24,24,289.0365285873413,2,0,19,14.878217493906469,120.0,148.7821749390647
98,118,278.255,24,24,274.95347785949707,7,0,9,21.821713497435237,120.0,218.21713497435235
99,119,283.851,24,24,285.20625591278076,5,0,7,20.979135151561877,110.0,209.79135151561877
100,120,332.994,24,24,295.98998069763184,4,0,20,11.700053568493509,90.0,117.00053568493509
101,111,393.168,24,24,246.61258745193481,10,0,24,19.624673764835247,160.0,196.24673764835248
102,112,263.289,24,24,273.8441355228424,11,0,7,13.85288585075585,100.0,138.52885850755848
103,113,271.493,24,24,285.9256296157837,4,0,5,15.247901306153736,120.0,152.47901306153736
104,114,332.301,24,24,265.11522245407104,11,0,19,19.61593137305668,110.0,196.15931373056677
105,115,345.606,24,24,292.0717296600342,2,0,14,13.094190115505215,110.0,130.94190115505216
106,116,416.584,24,24,245.37584519386292,11,0,28,20.41383436880616,150.0,204.1383436880616
107,117,339.489,24,24,273.9558448791504,2,0,11,16.813802721770607,160.0,168.13802721770605
108,118,337.479,24,24,265.79503536224365,6,0,13,17.349875986532812,150.0,173.4987598653281
109,119,296.451,24,24,288.42146348953247,4,0,8,20.261785673472737,110.0,202.61785673472738
110,120,305.936,24,24,269.2893981933594,8,0,11,17.368675828895533,130.0,173.68675828895536
111,111,370.354,24,24,278.6783380508423,3,0,19,22.73885957915758,130.0,227.3885957915758
112,112,351.022,24,24,261.55039739608765,11,0,19,16.498676347486978,120.0,164.98676347486978
113,113,302.307,24,24,266.72123670578003,8,0,7,20.929184040233633,130.0,209.29184040233633
114,114,433.594,24,24,259.22571206092834,11,0,46,22.580953353364258,110.0,225.80953353364256
115,115,315.313,24,24,283.8188886642456,4,0,9,17.270353705009377,120.0,172.7035370500938
116,116,488.958,24,24,265.8324942588806,4,0,20,30.55833623546687,140.0,305.58336235466874
117,117,277.656,24,24,286.92448806762695,2,0,7,20.25168650147891,130.0,202.5168650147891
118,118,338.172,24,24,272.18492221832275,6,0,13,22.716901716270634,130.0,227.16901716270635
119,119,294.263,24,24,275.8215124607086,8,0,11,17.261612698213572,110.0,172.61612698213574
120,120,282.141,24,24,297.5207328796387,3,0,9,13.264199924511223,100.0,132.64199924511223
