ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,travel,setup,move
1,121,352.045,24,24,273.98621463775635,6,0,23,11.712610265602212,130.0,117.12610265602211
2,122,308.867,24,24,260.8856086730957,12,0,8,13.714614798529881,120.0,137.14614798529882
3,123,289.016,24,24,257.55986881256104,7,0,5,28.13376466281237,160.0,281.3376466281237
4,124,324.776,24,24,274.36437129974365,8,0,15,22.11876406816545,110.0,221.18764068165453
5,125,317.135,24,24,266.68996810913086,6,0,17,16.033436167687316,150.0,160.3343616768732
6,126,323.459,24,24,247.37686681747437,9,0,11,23.743728861500973,170.0,237.43728861500972
7,127,402.767,24,24,263.89101934432983,1,0,24,23.696582624246375,180.0,236.96582624246375
8,128,328.035,24,24,266.22427558898926,3,0,12,19.252410723797688,170.0,192.5241072379769
9,129,300.879,24,24,274.49049377441406,2,0,2,20.031644204319594,160.0,200.31644204319593
10,130,269.767,24,24,291.10618019104004,4,0,7,12.979410257267261,110.0,129.7941025726726
11,121,334.478,24,24,271.6921558380127,12,0,26,12.692806107507167,90.0,126.92806107507168
12,122,282.673,24,24,274.230477809906,9,0,7,12.565044717369096,110.0,125.65044717369096
13,123,266.592,24,24,254.28873348236084,9,0,6,29.037526088087656,150.0,290.37526088087657
14,124,269.45,24,24,293.38890075683594,4,0,6,17.037001027519565,100.0,170.37001027519565
15,125,317.66,24,24,248.03590297698975,12,0,11,18.213664373467026,150.0,182.13664373467026
16,126,334.06,24,24,265.6635422706604,5,0,11,14.454835789833059,160.0,144.54835789833058
17,127,402.052,24,24,253.4424867630005,5,0,20,23.52504240698329,180.0,235.2504240698329
18,128,315.497,24,24,276.6064281463623,2,0,17,16.31190482593923,150.0,163.11904825939232
19,129,301.63,24,24,250.9094409942627,10,0,9,18.635195548701702,160.0,186.35195548701705
20,130,325.481,24,24,281.2386198043823,0,0,13,14.204592084946485,160.0,142.04592084946486
21,121,297.929,24,24,263.6645929813385,15,0,17,14.45134347700258,90.0,144.51343477002578
22,122,271.04,24,24,278.01437759399414,8,0,7,16.618734092499523,110.0,166.18734092499525
23,123,258.912,24,24,266.8086495399475,7,0,4,20.63783494117896,140.0,206.3783494117896
24,124,293.418,24,24,299.7350296974182,3,0,19,14.21657367485251,90.0,142.1657367485251
25,125,326.15,24,24,225.05826663970947,17,0,16,18.13909533701819,170.0,181.3909533701819
26,126,310.893,24,24,258.64506435394287,8,0,11,21.18312274238355,150.0,211.8312274238355
27,127,316.773,24,24,267.2070736885071,8,0,8,19.309746886276123,130.0,193.09746886276125
28,128,329.197,24,24,263.59364891052246,7,0,24,14.687825707312738,150.0,146.87825707312737
29,129,270.546,24,24,282.7884135246277,5,0,9,12.371954933135777,120.0,123.71954933135777
30,130,269.383,24,24,294.5413131713867,3,0,7,11.52895621454678,110.0,115.28956214546778
31,121,334.757,24,24,250.62256526947021,14,0,40,14.591447300673254,120.0,145.91447300673255
32,122,315.559,24,24,286.4529972076416,6,0,11,15.15667338165718,100.0,151.5667338165718
33,123,278.623,24,24,246.54688262939453,7,0,7,26.51035937036841,190.0,265.1035937036841
34,124,267.33,24,24,287.1220281124115,6,0,9,17.9265783368759,100.0,179.265783368759
35,125,305.659,24,24,264.8195147514343,9,0,11,17.268279182922598,130.0,172.68279182922598
36,126,347.029,24,24,258.36259412765503,5,0,14,20.458028496857008,170.0,204.58028496857008
37,127,349.542,24,24,273.5606255531311,5,0,14,14.797906095674584,140.0,147.97906095674583
38,128,247.042,24,24,290.98181915283203,6,0,5,20.060573125247398,90.0,200.605731252474
39,129,271.548,24,24,281.2470397949219,4,0,6,19.176518788127677,130.0,191.76518788127677
40,130,279.206,24,24,299.7517833709717,0,0,5,9.160732668120035,120.0,91.60732668120035
41,121,360.582,24,24,275.8132734298706,4,0,19,12.289076482500542,140.0,122.89076482500542
42,122,299.228,24,24,268.68354535102844,9,0,12,17.721510790643308,120.0,177.21510790643308
43,123,255.434,24,24,276.58966732025146,6,0,4,16.367763479652716,130.0,163.67763479652714
44,124,266.408,24,24,304.41155910491943,2,0,4,13.628093643301213,90.0,136.28093643301213
45,125,326.067,24,24,221.7832441329956,17,0,18,15.72251072207279,180.0,157.2251072207279
46,126,433.734,24,24,259.7270085811615,6,0,31,22.576616911738657,150.0,225.76616911738657
47,127,263.506,24,24,252.6205997467041,11,0,1,19.5979861311179,150.0,195.97986131117898
48,128,303.343,24,24,276.4951410293579,5,0,10,18.349534423682925,130.0,183.49534423682928
49,129,305.036,24,24,267.47885036468506,4,0,6,23.40380714043135,160.0,234.0380714043135
50,130,269.248,24,24,302.633695602417,0,0,11,9.554354738844369,110.0,95.54354738844368
51,121,313.496,24,24,274.03426694869995,9,0,15,13.219070577598096,110.0,132.19070577598094
52,122,281.732,24,24,276.02020168304443,9,0,9,11.599313229732308,110.0,115.99313229732307
53,123,258.726,24,24,264.91347789764404,8,0,3,23.62175689303681,140.0,236.2175689303681
54,124,295.232,24,24,281.1897511482239,8,0,11,12.700824873662839,100.0,127.00824873662839
55,125,368.902,24,24,273.05608224868774,8,0,22,21.479718279099455,110.0,214.79718279099453
56,126,257.565,24,24,296.4025774002075,4,0,3,21.991408977125815,90.0,219.91408977125815
57,127,249.251,24,24,277.71974658966064,8,0,4,19.26750994404449,110.0,192.6750994404449
58,128,327.796,24,24,268.5701904296875,5,0,18,21.43269755049103,140.0,214.3269755049103
59,129,292.881,24,24,280.3297166824341,6,0,8,13.900926221866687,120.0,139.00926221866686
60,130,329.303,24,24,285.5069532394409,2,0,17,13.310127798135614,130.0,133.10127798135613
61,121,426.624,24,24,260.0342507362366,12,0,26,14.885797914597122,110.0,148.85797914597123
62,122,286.383,24,24,303.0181007385254,3,0,11,16.606331910856902,80.0,166.063319108569
63,123,291.824,24,24,270.0610628128052,4,0,11,28.129794893850043,150.0,281.29794893850044
64,124,291.446,24,24,313.89976167678833,1,0,9,13.667452107202271,70.0,136.6745210720227
65,125,314.159,24,24,259.94481325149536,11,0,11,13.517281032461055,130.0,135.17281032461054
66,126,315.395,24,24,288.52689504623413,2,0,16,18.243686646038583,120.0,182.43686646038583
67,127,282.285,24,24,284.0373840332031,5,0,4,13.208714039094907,120.0,132.08714039094906
68,128,359.097,24,24,270.9313726425171,7,0,29,20.22875249395259,120.0,202.2875249395259
69,129,315.771,24,24,274.51735734939575,3,0,10,18.275458973110613,150.0,182.7545897311061
70,130,289.214,24,24,306.40048027038574,0,0,14,8.665032033473398,100.0,86.65032033473399
71,121,317.422,24,24,272.3822326660156,11,0,20,8.725879108990243,100.0,87.25879108990243
72,122,256.598,24,24,277.86787605285645,7,0,1,15.44040132389521,120.0,154.4040132389521
73,123,297.997,24,24,260.8902063369751,8,0,5,32.03264587963654,140.0,320.3264587963654
74,124,266.408,24,24,304.21462059020996,3,0,7,12.617887049867882,80.0,126.17887049867882
75,125,282.347,24,24,271.1917209625244,9,0,7,16.027583765350254,120.0,160.27583765350255
76,126,383.226,24,24,248.5121874809265,8,0,23,23.292669549772764,170.0,232.92669549772765
77,127,320.015,24,24,269.9270451068878,6,0,16,16.909840925496578,140.0,169.09840925496576
78,128,319.64,24,24,256.9671411514282,13,0,12,16.776184237165882,120.0,167.76184237165882
79,129,265.766,24,24,279.3704490661621,5,0,2,17.09849808860332,130.0,170.98498088603318
80,130,281.111,24,24,282.82395935058594,5,0,5,17.2534782441036,120.0,172.534782441036
81,121,328.344,24,24,277.1382808685303,8,0,18,9.539050990249672,110.0,95.39050990249672
82,122,369.435,24,24,270.3676862716675,4,0,13,27.10768241443472,140.0,271.0768241443472
83,123,295.885,24,24,266.1355323791504,7,0,7,24.548215626487035,140.0,245.48215626487035
84,124,255.582,24,24,302.26437187194824,3,0,9,12.452087617307201,90.0,124.52087617307203
85,125,267.325,24,24,258.3710584640503,12,0,10,13.763094645702274,130.0,137.63094645702276
86,126,363.442,24,24,262.579638004303,5,0,20,19.7345312943986,160.0,197.34531294398602
87,127,295.32,24,24,282.27597427368164,2,0,7,20.746720017321216,140.0,207.46720017321215
88,128,299.264,24,24,263.8150987625122,7,0,10,18.94966133098073,150.0,189.49661330980732
89,129,292.278,24,24,271.04511070251465,4,0,4,21.516303694198026,150.0,215.16303694198027
90,130,270.204,24,24,285.6814670562744,4,0,4,17.72844295144739,120.0,177.2844295144739
91,121,358.166,24,24,257.75772047042847,7,0,25,25.807603955623303,150.0,258.076039556233
92,122,267.341,24,24,273.2079210281372,8,0,4,15.97356241100487,120.0,159.73562411004872
93,123,301.999,24,24,257.07572507858276,8,0,7,31.414260028247543,150.0,314.1426002824754
94,124,308.299,24,24,309.179292678833,1,0,20,16.069028273427897,80.0,160.69028273427895
95,125,315.686,24,24,234.25038528442383,14,0,17,17.4986810183344,170.0,174.98681018334398
96,126,338.812,24,24,260.48426055908203,7,0,19,21.71911603946555,150.0,217.1911603946555
97,127,281.481,24,24,276.1231679916382,6,0,8,14.58943622045029,130.0,145.8943622045029
98,128,365.385,24,24,258.5739336013794,6,0,12,24.753540122539615,160.0,247.53540122539616
99,129,316.658,24,24,248.58820152282715,14,0,15,23.03932816933247,130.0,230.3932816933247
100,130,293.583,24,24,295.07156562805176,1,0,5,14.761441720261015,120.0,147.61441720261016
101,121,350.859,24,24,262.74769163131714,7,0,22,25.841020038308773,140.0,258.4102003830877
102,122,285.908,24,24,258.3725016117096,12,0,7,27.091657422643525,120.0,270.9165742264353
103,123,263.633,24,24,263.9435291290283,7,0,3,21.85488168744661,150.0,218.5488168744661
104,124,303.496,24,24,278.54042768478394,7,0,11,18.198582446731162,110.0,181.98582446731163
105,125,310.667,24,24,267.58011531829834,12,0,12,18.06625791462138,100.0,180.6625791462138
106,126,332.549,24,24,270.1493282318115,3,0,17,19.502237810220013,160.0,195.02237810220012
107,127,290.347,24,24,259.70332622528076,11,0,7,19.32220641540471,130.0,193.2220641540471
108,128,247.042,24,24,288.5961694717407,5,0,3,21.346095553045302,100.0,213.46095553045302
109,129,280.274,24,24,270.0494327545166,8,0,6,16.50187812550444,130.0,165.01878125504442
110,130,291.728,24,24,294.08613777160645,1,0,7,18.04619991971341,120.0,180.46199919713408
111,121,296.117,24,24,277.7392044067383,11,0,14,9.202627316570783,90.0,92.02627316570783
