ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,travel,setup,move
1,101,256.93,24,24,287.0321292877197,4,0,2,14.892911135455416,120.0,148.92911135455418
2,102,410.03,24,24,240.4923620223999,12,0,18,31.692104409163854,150.0,316.9210440916386
3,103,280.399,24,24,262.48848485946655,8,0,9,23.371728947500756,140.0,233.71728947500753
4,104,305.32,24,24,258.3437328338623,11,0,10,20.520860775515807,130.0,205.20860775515808
5,105,307.304,24,24,268.9886226654053,8,0,13,13.371258256082074,130.0,133.71258256082072
6,106,277.199,24,24,259.702889919281,4,0,4,24.323729157369943,180.0,243.23729157369945
7,107,370.842,24,24,277.17578411102295,5,0,16,21.08071700953002,120.0,210.8071700953002
8,108,272.887,24,24,278.1911416053772,4,0,9,19.362852415678855,130.0,193.62852415678856
9,109,306.934,24,24,254.89885926246643,9,0,22,18.670477475555742,150.0,186.7047747555574
10,110,294.903,24,24,267.5778560638428,2,0,5,31.407148265428983,170.0,314.0714826542898
11,101,290.448,24,24,269.76294898986816,5,0,12,14.123497291966647,150.0,141.23497291966646
12,102,328.204,24,24,241.3253951072693,14,0,12,18.915316871149887,150.0,189.15316871149886
13,103,375.251,24,24,258.2421946525574,6,0,22,32.52602194009829,150.0,325.26021940098286
14,104,459.162,24,24,264.3416962623596,8,0,30,27.194336169068375,120.0,271.94336169068373
15,105,314.541,24,24,274.068395614624,5,0,8,14.772014472038915,140.0,147.72014472038916
16,106,288.822,24,24,285.9916067123413,2,0,3,21.694626514332196,130.0,216.94626514332197
17,107,569.211,24,24,273.87933349609375,3,0,42,20.40221388247647,120.0,204.02213882476468
18,108,326.104,24,24,258.59506702423096,10,0,16,14.683082614247473,140.0,146.83082614247473
19,109,436.892,24,24,252.1267867088318,7,0,19,29.57734297141444,160.0,295.7734297141443
20,110,402.493,24,24,281.46246576309204,1,0,25,18.45843876645959,140.0,184.5843876645959
21,101,348.658,24,24,270.433256149292,6,0,8,28.555799930200124,130.0,285.55799930200124
22,102,356.525,24,24,259.00495624542236,6,0,12,23.316814327669007,160.0,233.16814327669016
23,103,351.579,24,24,260.5698766708374,4,0,19,38.10041538254752,160.0,381.0041538254751
24,104,362.103,24,24,250.47076797485352,13,0,19,20.097418863491967,130.0,200.97418863491964
25,105,288.407,24,24,274.7972106933594,4,0,7,12.34263216542912,150.0,123.42632165429124
26,106,328.824,24,24,249.39812469482422,7,0,12,30.339540821131138,170.0,303.39540821131135
27,107,420.58,24,24,276.77698135375977,7,0,36,22.41005107447124,100.0,224.1005107447124
28,108,313.519,24,24,271.789400100708,4,0,12,17.368656092972913,150.0,173.68656092972915
29,109,415.456,24,24,261.7984323501587,5,0,21,30.671856200304546,150.0,306.7185620030455
30,110,306.286,24,24,264.94057750701904,10,0,14,15.198055196210609,120.0,151.9805519621061
31,101,256.324,24,24,290.1426134109497,5,0,4,16.191280063044097,100.0,161.91280063044096
