run_label,episodes,train_seed_start,train_seed_count,seen_seed_start,seen_seed_count,unseen_seed_start,unseen_seed_count,cranes,lifts,candidate_k,seen_mappo_makespan_mean,seen_mappo_makespan_std,seen_nearest_makespan_mean,seen_random_makespan_mean,seen_nearest_improve_pct,seen_random_improve_pct,unseen_mappo_makespan_mean,unseen_mappo_makespan_std,unseen_nearest_makespan_mean,unseen_random_makespan_mean,unseen_nearest_improve_pct,unseen_random_improve_pct,completion_rate_seen,completion_rate_unseen,hard_executed_seen,hard_executed_unseen,hard_mask_seen,hard_mask_unseen,soft_seen,soft_unseen,travel_unseen,setup_unseen,move_unseen,generalization_gap,model_path,outdir
group1_train101-110_unseen201-230,120,101,10,101,10,201,30,3,24,5,313.65119999999996,29.948526273591494,347.8401,358.88989999999995,9.828912767676885,12.605175013284017,342.8796333333333,54.93049918850992,348.0688333333333,344.59103333333337,1.4908545388292531,0.4966467012925997,100.0,100.0,0.0,0.0,12.7,15.933333333333334,6.6,5.633333333333334,15.789021387998366,113.66666666666667,157.89021387998363,29.228433333333328,python_mappo/outputs_repeated/group1_train101-110_unseen201-230/pytorch_mappo_model.pt,python_mappo/outputs_repeated/group1_train101-110_unseen201-230
group2_train111-120_unseen231-260,120,111,10,111,10,231,30,3,24,5,337.2474,45.775250214936015,341.44130000000007,346.59220000000005,1.22829312095521,2.6961945479442466,327.39733333333334,51.606306478526015,321.49666666666667,333.30809999999997,-1.835374135553505,1.773364243673236,100.0,100.0,0.0,0.0,14.1,13.733333333333333,3.7,5.0,18.247785149187777,115.33333333333333,182.47785149187771,-9.850066666666692,python_mappo/outputs_repeated/group2_train111-120_unseen231-260/pytorch_mappo_model.pt,python_mappo/outputs_repeated/group2_train111-120_unseen231-260
group3_train121-130_unseen261-290,120,121,10,121,10,261,30,3,24,5,298.78819999999996,31.285259905584933,324.91049999999996,324.8491,8.039844818803948,8.022463352984527,311.70206666666667,42.60063976118459,328.42206666666664,335.0580333333334,5.0910099219885865,6.970722783247223,100.0,100.0,0.0,0.0,10.8,16.266666666666666,6.0,5.433333333333334,17.613655148948855,99.0,176.13655148948854,12.913866666666706,python_mappo/outputs_repeated/group3_train121-130_unseen261-290/pytorch_mappo_model.pt,python_mappo/outputs_repeated/group3_train121-130_unseen261-290
